"","V1","C_ele_gene_ID","WormBase.Gene.ID","Public.Name","Gene.Ontology.Association","Concise.Description","Automated.Description"
"382","Gpal_D383_g00782","Y75B8A.5","WBGene00013542","lron-12","integral component of membrane, ""ion channel binding"", ""membrane"", ""potassium channel activator activity"", ""potassium ion transmembrane transport"", ""voltage-gated potassium channel activity"", ""voltage-gated potassium channel complex""","N.A.","Is enriched in OLL\; PVD\; body wall muscle cell\; and muscle cell based on microarray and tiling array studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by nine chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: BspA type Leucine rich repeat region (6 copies)\; BspA type Leucine rich repeat region\; and Leucine-rich repeat domain superfamily."
"383","Gpal_D383_g02348","ZK688.9","WBGene00022803","ZK688.9","cytosol, ""regulation of phosphoprotein phosphatase activity"", ""TOR signaling""","ZK688.9 encodes the C. elegans ortholog of TIP41, a protein first identified in Saccharomyces cerevisiae that physically interacts with and negatively regulates activity of TAP42, a protein phosphatase 2A regulatory subunit\; ZK688.9(RNAi) in wild-type animals results in fertility defects in F1 hermaphrodites, who exhibit a 80-90\% decrease in the total number of eggs laid, and ~80\% embryonic lethality in the F2 generation.","Is enriched in body wall muscle cell\; germ line\; neurons\; retrovesicular ganglion\; and somatic gonad precursor based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; glp-1\; and gld-1 based on microarray\; tiling array\; RNA-seq\; and proteomic studies. Is affected by nine chemicals including manganese chloride\; Zidovudine\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: TIP41-like family and TIP41-like protein. Is an ortholog of human TIPRL (TOR signaling pathway regulator)."
"384","Gpal_D383_g03822","K09F5.6","WBGene00044698","K09F5.6","integral component of membrane, ""membrane""","N.A.","Is enriched in body wall muscle cell\; head mesodermal cell\; neurons\; and retrovesicular ganglion based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; eat-2\; and npr-1 based on microarray and RNA-seq studies. Is affected by nine chemicals including 1-methylnicotinamide\; rotenone\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: ."
"385","Gpal_D383_g01477","C35D10.1","WBGene00016439","C35D10.1","EMC complex, ""integral component of membrane"", ""membrane""","N.A.","Is enriched in several structures, including cephalic sheath cell\; excretory cell\; germ line\; intestine\; and neurons based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; glp-1\; and let-7 based on microarray\; proteomic\; and RNA-seq studies. Is affected by eight chemicals including rotenone\; bisphenol A\; and Chlorpyrifos based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein of unknown function (DUF2012)\; Domain of unknown function DUF2012\; and ER membrane protein complex subunit 7. Is an ortholog of human EMC7 (ER membrane protein complex subunit 7)."
"386","Gpal_D383_g00661","Y54G11A.2","WBGene00013213","Y54G11A.2","N.A.","N.A.","Is enriched in AFD and germ line based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on tiling array\; proteomic\; RNA-seq\; and microarray studies. Is affected by four chemicals including Hydrolyzable Tannins\; Humic Substances\; and paraquat based on microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; NFACT protein RNA binding domain\; NFACT, RNA-binding domain\; and Jlp2\/Ccd25. Is an ortholog of human CCDC25 (coiled-coil domain containing 25)."
"387","Gpal_D383_g06830","F43D2.6","WBGene00044191","F43D2.6","integral component of membrane, ""membrane""","N.A.","Is enriched in hypodermis and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; glp-1\; and hsf-1 based on RNA-seq studies. Is affected by nine chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies."
"388","Gpal_D383_g03713","T05H10.3","WBGene00011508","T05H10.3","N.A.","N.A.","Is enriched in dopaminergic neurons\; germline precursor cell\; and intestine based on Chronogram and tiling array studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; RNA-seq\; and proteomic studies. Is affected by twenty-eight chemicals including cholesterol\; lathosterol\; and aldicarb based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: ."
"389","Gpal_D383_g08568","F40A3.2","WBGene00018217","F40A3.2","integral component of membrane, ""membrane""","N.A.","Is enriched in several structures, including RID\; cephalic sheath cell\; dopaminergic neurons\; germline precursor cell\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by eleven chemicals including rotenone\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Phosphorylation site."
"390","Gpal_D383_g00368","F26F4.12","WBGene00017831","F26F4.12","positive regulation of transcription, DNA-templated","N.A.","Is enriched in germ line and intestine based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; let-7\; and gld-1 based on proteomic\; RNA-seq\; and microarray studies. Is affected by eight chemicals including rotenone\; bisphenol S\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Ankyrin repeats (3 copies)\; Ankyrin repeat\; Ankyrin repeat-containing domain\; and Ankyrin repeat-containing domain superfamily. Is an ortholog of human ANKRD49 (ankyrin repeat domain 49)."
"391","Gpal_D383_g01882","C53D5.1","WBGene00016902","C53D5.1","integral component of membrane, ""membrane""","N.A.","Is enriched in germ line\; head mesodermal cell\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; dpy-10\; and fog-2 based on microarray and RNA-seq studies. Is affected by five chemicals including Cry5B\; Chlorpyrifos\; and Diazinon based on microarray studies. Is predicted to encode a protein with the following domains: Protein-kinase domain of FAM69 and FAM69, protein-kinase domain. Is an ortholog of human DIPK1C (divergent protein kinase domain 1C)."
"392","Gpal_D383_g02137","T23B12.11","WBGene00044553","T23B12.11","N.A.","N.A.","Is enriched in head mesodermal cell\; hypodermis\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on tiling array\; RNA-seq\; and microarray studies. Is affected by seven chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies."
"393","Gpal_D383_g16229","C18F10.7","WBGene00015978","C18F10.7","cytoplasm, ""endosome"", ""late endosome"", ""membrane"", ""plasma membrane""","N.A.","Is enriched in ASER\; excretory cell\; germ line\; and germline precursor cell based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-12\; and hsf-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eight chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Ankyrin repeats (3 copies)\; Ankyrin repeat\; Ankyrin repeat-containing domain\; Ankyrin repeat domain-containing protein 13\; and Ankyrin repeat-containing domain superfamily. Is an ortholog of human ANKRD13B (ankyrin repeat domain 13B) and ANKRD13D (ankyrin repeat domain 13D)."
"394","Gpal_D383_g09777","R01H10.6","WBGene00010974","bbs-5","axoneme, ""BBSome"", ""cell projection organization"", ""cell projection"", ""ciliary basal body"", ""ciliary base"", ""ciliary membrane"", ""cilium assembly"", ""cilium"", ""cytoplasm"", ""cytoskeleton"", ""intracellular transport"", ""membrane"", ""microtubule organizing center"", ""non-motile cilium"", ""phosphatidylinositol-3-phosphate binding"", ""plasma membrane"", ""protein transport""","bbs-5 encodes a novel protein that is the C. elegans ortholog of human BBS5\; bbs-5 is required for the proper regulation of insulin secretion\; bbs-5, bbs-1, bbs-8 and bbs-9 mutants along with ciliary phenotypes show an increased secretion of insulin, biogenic amines and neuropeptides which requires the Rab27\/AEX-6 dense-core vesicle exocytosis machinery\; a BBS-5::GFP reporter protein is expressed exclusively in ciliated neurons, where it localizes to the ciliary base\; consistent with the presence of an X box in the bbs-5 5' UTR, bbs-5 expression is positively regulated by daf-19, a RFX-transcription factor.","Located in cilium. Is expressed in head\; neurons\; outer labial neurons\; and tail. Is used to study Bardet-Biedl syndrome. Human ortholog(s) of this gene are implicated in Bardet-Biedl syndrome 5. Is an ortholog of human BBS5 (Bardet-Biedl syndrome 5)."
"395","Gpal_D383_g05121","T22C1.3","WBGene00011914","pigu-1","attachment of GPI anchor to protein, ""endoplasmic reticulum membrane"", ""endoplasmic reticulum"", ""GPI anchor biosynthetic process"", ""GPI-anchor transamidase complex"", ""integral component of membrane"", ""membrane"", ""protein localization to cell surface""","N.A.","Is enriched in germ line based on RNA-seq studies. Is affected by several genes including daf-2\; gld-1\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by nine chemicals including aldicarb\; Zidovudine\; and allantoin based on microarray and RNA-seq studies. Human PIGU Contributes to GPI anchor binding activity. Is predicted to encode a protein with the following domains: GPI transamidase subunit PIG-U and GPI transamidase subunit PIG-U. Is an ortholog of human PIGU (phosphatidylinositol glycan anchor biosynthesis class U)."
"396","Gpal_D383_g13401","T04C4.1","WBGene00020208","fnip-2","ATPase inhibitor activity, ""chaperone binding"", ""cytoplasm"", ""regulation of catalytic activity""","N.A.","Is enriched in germ line based on RNA-seq studies. Is affected by several genes including daf-16\; daf-12\; and hsf-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by ten chemicals including rotenone\; Cry5B\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Folliculin-interacting protein C-terminus\; Folliculin-interacting protein middle domain\; Folliculin-interacting protein, middle domain\; and Folliculin-interacting protein, C-terminal domain. Is an ortholog of human FNIP1 (folliculin interacting protein 1) and FNIP2 (folliculin interacting protein 2)."
"397","Gpal_D383_g07634","C11H1.2","WBGene00007528","C11H1.2","Golgi cisterna membrane, ""inorganic anion transport"", ""integral component of membrane"", ""intracellular pH reduction"", ""ion transmembrane transport"", ""membrane"", ""voltage-gated anion channel activity""","N.A.","Is enriched in OLL\; PVD\; dopaminergic neurons\; and hypodermis based on tiling array studies. Is affected by several genes including daf-12\; lin-4\; and lin-14 based on tiling array\; RNA-seq\; and microarray studies. Is affected by four chemicals including Alovudine\; metformin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Abscisic acid G-protein coupled receptor\; The Golgi pH Regulator (GPHR) Family N-terminal\; The Golgi pH regulator\/GPCR-type G protein\; Golgi pH regulator, conserved domain\; and Abscisic acid G-protein coupled receptor-like domain. Is an ortholog of human GPR89A (G protein-coupled receptor 89A)."
"398","Gpal_D383_g07047","F10G7.8","WBGene00004461","rpn-5","cytoplasm, ""nuclear proteasome complex"", ""proteasome regulatory particle, ""proteasome-mediated ubiquitin-dependent protein catabolic process"", lid subcomplex""","N.A.","Is enriched in germ line\; germline precursor cell\; muscle cell\; and somatic gonad precursor based on proteomic\; Chronogram\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; glp-1\; and skn-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by five chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: 26S proteasome regulatory subunit RPN5 C-terminal domain\; PCI domain\; Proteasome component (PCI) domain\; 26S Proteasome non-ATPase regulatory subunit 12\; Winged helix-like DNA-binding domain superfamily\; Winged helix DNA-binding domain superfamily\; 26S Proteasome non-ATPase regulatory subunit 12\/COP9 signalosome complex subunit 4\; and 26S proteasome regulatory subunit RPN5, C-terminal domain. Is an ortholog of human PSMD12 (proteasome 26S subunit, non-ATPase 12)."
"399","Gpal_D383_g06131","T23G11.4","WBGene00011969","T23G11.4","regulation of mRNA splicing, spliceosomal complex"", via spliceosome""","N.A.","Is enriched in AFD\; body wall muscle cell\; cephalic sheath cell\; and germ line based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; sir-2.1\; and isp-1 based on microarray and RNA-seq studies. Is affected by six chemicals including rotenone\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Hepatocellular carcinoma-associated antigen 59 and Telomere length and silencing protein 1. Is an ortholog of human C9orf78 (chromosome 9 open reading frame 78)."
"400","Gpal_D383_g08585","F35G2.2","WBGene00009436","marb-1","cytoplasm","N.A.","Is enriched in several structures, including germ line\; germline precursor cell\; intestine\; muscle cell\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; let-7\; and gld-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by ten chemicals including rotenone\; D-glucose\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Isochorismatase family\; Isochorismatase-like\; and Isochorismatase-like superfamily. Is an ortholog of human ISOC2 (isochorismatase domain containing 2)."
"401","Gpal_D383_g02274","F20G2.3","WBGene00008987","F20G2.3","N.A.","N.A.","Is enriched in several structures, including ASER\; germ line\; germline precursor cell\; mechanosensory neurons\; and somatic gonad precursor based on microarray\; tiling array\; RNA-seq\; and proteomic studies. Is affected by several genes including daf-16\; daf-2\; and age-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by fifteen chemicals including methylmercury hydroxide\; manganese chloride\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: GOLD domain superfamily and CRAL-TRIO lipid binding domain superfamily. Is an ortholog of human SEC14L2 (SEC14 like lipid binding 2)\; SEC14L3 (SEC14 like lipid binding 3)\; and SEC14L4 (SEC14 like lipid binding 4)."
"402","Gpal_D383_g11796","Y39A1A.9","WBGene00012648","Y39A1A.9","cytoplasm, ""female meiosis I"", ""male meiosis I"", ""meiotic cell cycle"", ""mRNA stabilization"", ""nucleus""","N.A.","Is enriched in head mesodermal cell\; muscle cell\; neurons\; and retrovesicular ganglion based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty-two chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and nicotinic acid based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Meiosis-specific coiled-coil domain-containing protein MEIOC and Meiosis-specific coiled-coil domain-containing protein MEIOC. Is an ortholog of human MEIOC (meiosis specific with coiled-coil domain)."
"403","Gpal_D383_g10106","F29C4.1","WBGene00000897","daf-1","activin binding, ""activin receptor activity, ""activin receptor complex"", ""activin receptor signaling pathway"", ""ATP binding"", ""cellular response to growth factor stimulus"", ""dauer entry"", ""dauer larval development"", ""defense response to Gram-negative bacterium"", ""detection of bacterium"", ""determination of adult lifespan"", ""integral component of membrane"", ""kinase activity"", ""larval feeding behavior"", ""membrane"", ""multicellular organism development"", ""negative regulation of dauer larval development"", ""nervous system development"", ""nucleotide binding"", ""phosphorylation"", ""plasma membrane"", ""positive regulation of transcription by RNA polymerase II"", ""protein binding"", ""protein kinase activity"", ""protein phosphorylation"", ""protein serine/threonine kinase activity"", ""receptor complex"", ""regulation of dauer larval development"", ""regulation of eating behavior"", ""regulation of pharyngeal pumping"", ""transferase activity"", ""transforming growth factor beta receptor signaling pathway"", ""transforming growth factor beta-activated receptor activity"", ""transmembrane receptor protein serine/threonine kinase activity"", ""transmembrane receptor protein serine/threonine kinase signaling pathway"", type I""","daf-1 encodes a TGF-beta type I receptor homolog required, in association with the TGF beta-like type II receptor DAF-4, for the regulation of dauer formation by environmental signals through the ASI chemosensory neuron\; daf-1 activity is also required for normal adult lifespan\; DAF-1 is bound by BRA-1 and has an intracellular serine-threonine kinase domain\; mutations in daf-1 result in constitutive formation of dauer larvae even in abundant food\; DAF-1 is broadly expressed, but expression in the RIM\/RIC interneurons mediates development, pathogen avoidance behavior, feeding rate, and quiescence.","Is predicted to enable transforming growth factor beta-activated receptor activity. Is involved in several processes, including dauer entry\; larval feeding behavior\; and response to bacterium. Is expressed in several structures, including distal tip cell\; ganglia\; inner labial sensillum\; neurons\; and somatic nervous system. Human ortholog(s) of this gene are implicated in several diseases, including Ferguson-Smith tumor\; Loeys-Dietz syndrome 1\; and fibrodysplasia ossificans progressiva. Is an ortholog of human ACVR1C (activin A receptor type 1C) and TGFBR1 (transforming growth factor beta receptor 1)."
"404","Gpal_D383_g02123","F17A9.2","WBGene00017534","cwf-19L1","mRNA splicing, post-mRNA release spliceosomal complex"", ""RNA lariat debranching enzyme activator activity"", via spliceosome""","N.A.","Is enriched in germ line\; neurons\; and somatic gonad precursor based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; gld-1\; and clk-1 based on RNA-seq\; tiling array\; and microarray studies. Is affected by six chemicals including Zidovudine\; allantoin\; and Sirolimus based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in autosomal recessive spinocerebellar ataxia 17. Is predicted to encode a protein with the following domains: Phosphorylation site\; Protein similar to CwfJ C-terminus 2\; Protein similar to CwfJ C-terminus 1\; Cwf19-like protein, C-terminal domain-2\; Cwf19-like, C-terminal domain-1\; HIT-like superfamily\; and Cwf19-like protein. Is an ortholog of human CWF19L1 (CWF19 like cell cycle control factor 1)."
"405","Gpal_D383_g10666","T08B1.4","WBGene00020341","T08B1.4","lipid metabolic process","N.A.","Is enriched in excretory cell based on tiling array studies. Is affected by several genes including daf-2\; glp-1\; and rrf-3 based on microarray and RNA-seq studies. Is affected by nine chemicals including rotenone\; stavudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Lipase (class 3)\; Fungal lipase-like domain\; and Alpha\/Beta hydrolase fold."
"406","Gpal_D383_g01884","DH11.5","WBGene00008438","DH11.5","axon, ""calcium ion binding"", ""calcium-dependent phospholipid binding"", ""calcium-ion regulated exocytosis"", ""cellular response to calcium ion"", ""clathrin binding"", ""exocytic vesicle"", ""phosphatidylserine binding"", ""plasma membrane"", ""protein binding"", ""regulation of calcium ion-dependent exocytosis"", ""regulation of dopamine secretion"", ""SNARE binding"", ""synapse"", ""vesicle fusion"", ""vesicle-mediated transport""","N.A.","Is enriched in head mesodermal cell\; neurons\; and ventral nerve cord based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by ten chemicals including rotenone\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: C2 domain and C2 domain superfamily."
"407","Gpal_D383_g16582","K04G7.11","WBGene00019402","syf-2","catalytic step 2 spliceosome, ""mRNA processing"", ""nucleus"", ""post-mRNA release spliceosomal complex"", ""Prp19 complex"", ""RNA splicing"", ""spliceosomal complex""","N.A.","Is enriched in germ line based on RNA-seq studies. Is affected by several genes including daf-12\; hsf-1\; and sir-2.1 based on microarray\; tiling array\; RNA-seq\; and proteomic studies. Is affected by five chemicals including resveratrol\; cadmium\; and Diazinon based on microarray studies. Is predicted to encode a protein with the following domains: SYF2 splicing factor and mRNA splicing factor SYF2. Is an ortholog of human SYF2 (SYF2 pre-mRNA splicing factor)."
"408","Gpal_D383_g11203","C30H7.2","WBGene00016278","erp-44.1","N.A.","N.A.","Is enriched in several structures, including germ line\; head mesodermal cell\; mechanosensory neurons\; somatic nervous system\; and tail neurons based on Chronogram\; microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; daf-12\; and sir-2.1 based on microarray\; RNA-seq\; tiling array\; and proteomic studies. Is affected by aldicarb\; Tunicamycin\; and paraquat based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Thioredoxin\; Thioredoxin-like domain\; Thioredoxin domain\; and Thioredoxin-like superfamily. Is an ortholog of human ERP44 (endoplasmic reticulum protein 44)."
"409","Gpal_D383_g04103","Y39B6A.14","WBGene00012676","pro-3","actin cytoskeleton organization, ""cell differentiation"", ""gonadal mesoderm development"", ""multicellular organism development"", ""nucleolus"", ""nucleus"", ""protein transport"", ""ribosomal large subunit biogenesis"", ""ribosomal large subunit export from nucleus"", ""ribosome biogenesis""","N.A.","Is enriched in body wall muscle cell and germ line based on proteomic\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; let-7\; and gld-1 based on proteomic\; RNA-seq\; and microarray studies. Is affected by rotenone\; D-glucose\; and cadmium based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: NUC130\/3NT domain\; SDA1\; SDA1 domain\; Uncharacterised domain NUC130\/133, N-terminal\; Armadillo-type fold\; and Sda1. Is an ortholog of human SDAD1 (SDA1 domain containing 1)."
"410","Gpal_D383_g02198","Y80D3A.9","WBGene00013587","hrg-10","Golgi apparatus, ""Golgi organization"", ""protein secretion""","N.A.","Is enriched in arcade cell\; head mesodermal cell\; intestine\; and pharyngeal-intestinal valve cell based on RNA-seq studies. Is affected by several genes including daf-16\; glp-1\; and skn-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by eight chemicals including D-glucopyranose\; sodium arsenite\; and antimycin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Transport and Golgi organisation 2 and Transport and Golgi organisation protein 2. Is an ortholog of human TANGO2 (transport and golgi organization 2 homolog)."
"411","Gpal_D383_g09585","R07B1.8","WBGene00001608","R07B1.8","N.A.","N.A.","Is affected by several genes including daf-16\; daf-2\; and skn-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by twelve chemicals including rotenone\; D-glucose\; and stavudine based on RNA-seq and microarray studies."
"412","Gpal_D383_g05352","C56C10.7","WBGene00016964","C56C10.7","TRAPPIII protein complex","N.A.","Is enriched in germ line and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-12\; sir-2.1\; and pgl-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by rotenone\; Zidovudine\; and Cry5B based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein of unknown function (DUF974) and Trafficking protein particle complex subunit 13. Is an ortholog of human TRAPPC13 (trafficking protein particle complex subunit 13)."
"413","Gpal_D383_g13298","F52E4.7","WBGene00018703","sec-3","exocyst, ""exocytosis"", ""Golgi to plasma membrane transport"", ""phosphatidylinositol-4,5-bisphosphate binding"", ""plasma membrane"", ""protein binding"", ""protein transport""","N.A.","Is enriched in OLL\; PLM\; PVD\; coelomocyte\; and excretory cell based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-12\; sir-2.1\; and clk-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by five chemicals including rotenone\; Zidovudine\; and resveratrol based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; Exocyst complex component SEC3 N-terminal PIP2 binding PH\; Exocyst complex component Sec3\; Exocyst complex component Sec3, C-terminal\; and Exocyst complex component Sec3, PIP2-binding N-terminal domain. Is an ortholog of human EXOC1 (exocyst complex component 1)."
"414","Gpal_D383_g09346","F57B9.9","WBGene00004133","abu-13","N.A.","The protein product of this gene is predicted to contain a glutamine\/asparagine (Q\/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).","Is enriched in OLL\; PLM\; PVD\; hypodermis\; and somatic gonad precursor based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-one chemicals including Ethanol\; Nitric Oxide\; and methylmercury hydroxide based on RNA-seq and microarray studies."
"415","Gpal_D383_g07471","K07D4.8","WBGene00004135","pqn-48","oxidoreductase activity, oxidoreductase activity"", acting on a sulfur group of donors, disulfide as acceptor""","The protein product of this gene is predicted to contain a glutamine\/asparagine (Q\/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).","Is enriched in body wall muscle cell\; body wall musculature\; germ line\; head mesodermal cell\; and muscle cell based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; glp-1\; and rrf-3 based on microarray and RNA-seq studies. Is affected by six chemicals including rotenone\; Psoralens\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Gamma interferon inducible lysosomal thiol reductase (GILT) and Gamma interferon inducible lysosomal thiol reductase GILT. Is an ortholog of human IFI30 (IFI30 lysosomal thiol reductase)."
"416","Gpal_D383_g08254","Y74C10AR.3","WBGene00022281","abtm-1","ATP binding, ""ATPase-coupled transmembrane transporter activity"", ""cellular iron ion homeostasis"", ""integral component of membrane"", ""membrane"", ""mitochondrial inner membrane"", ""mitochondrion"", ""nucleotide binding"", ""transmembrane transport""","abtm-1 encodes a protein orthologous to the highly conserved ABCB7 protein and has the typical ABC superfamily structure with six transmembrane domains and an ATP binding domain\; ABCB7 is involved in the transport of iron-sulphur clusters into the cytoplasm and thus in iron homeostasis\; abtm-1 is an essential gene and knock-down of abtm-1 via RNA interference results in pleiotropic phenotypes that include partial embryonic lethality, morphogenetic defects, premature apoptosis, increase in total iron content and daf-16\/FOXO-dependent increase in life-span\; ABTM-1 is a widely expressed mitochondrial protein.","Is predicted to enable ATP binding activity and ATPase-coupled transmembrane transporter activity. Is involved in cellular iron ion homeostasis. Located in mitochondrion. Is expressed in coelomocyte\; hypodermis\; intestine\; and spermatheca. Is used to study X-linked sideroblastic anemia with ataxia. Human ortholog(s) of this gene are implicated in X-linked sideroblastic anemia with ataxia. Is an ortholog of human ABCB7 (ATP binding cassette subfamily B member 7)."
"417","Gpal_D383_g08868","Y75B8A.7","WBGene00013544","Y75B8A.7","Mpp10 complex, ""nucleolus"", ""nucleus"", ""ribosome biogenesis"", ""rRNA processing"", ""small-subunit processome"", ""sno(s)RNA-containing ribonucleoprotein complex"", ""viral nucleocapsid""","N.A.","Is enriched in AFD\; body wall muscle cell\; and germ line based on proteomic\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; glp-1\; and daf-12 based on microarray\; tiling array\; proteomic\; and RNA-seq studies. Is affected by D-glucose\; Rifampin\; and allantoin based on RNA-seq studies. Is predicted to encode a protein with the following domains: Mpp10 protein and U3 small nucleolar ribonucleoprotein complex, subunit Mpp10. Is an ortholog of human MPHOSPH10 (M-phase phosphoprotein 10)."
"418","Gpal_D383_g06237","Y37E11AM.3","WBGene00021367","Y37E11AM.3","3-dehydrosphinganine reductase activity, ""3-keto-sphinganine metabolic process"", ""endoplasmic reticulum membrane"", ""integral component of membrane"", ""membrane"", ""oxidoreductase activity"", ""sphingolipid biosynthetic process""","Y37E11AM.3 encodes an ortholog of Rpp14, a protein subunit of theendoribonuclease RNAse P, which cleaves tRNA precursors to producetheir mature 5' end.","Is enriched in intestine and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; hsf-1\; and fbf-1 based on microarray and RNA-seq studies. Is affected by five chemicals including stavudine\; Zidovudine\; and antimycin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: short chain dehydrogenase\; Short-chain dehydrogenase\/reductase SDR\; and NAD(P)-binding domain superfamily."
"419","Gpal_D383_g00180","ZK337.2","WBGene00013970","klu-1","DNA-binding transcription factor activity, ""regulation of transcription by RNA polymerase II"", ""RNA polymerase II cis-regulatory region sequence-specific DNA binding""","N.A.","Is enriched in excretory cell\; head mesodermal cell\; neurons\; and ventral nerve cord based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and sek-1 based on RNA-seq and microarray studies. Is affected by eleven chemicals including 1-methylnicotinamide\; rotenone\; and stavudine based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in B-lymphoblastic leukemia\/lymphoma and common variable immunodeficiency. Is predicted to encode a protein with the following domains: Zinc finger, C2H2 type\; Zinc finger C2H2-type\; and Zinc finger C2H2 superfamily. Is an ortholog of human GLI4 (GLI family zinc finger 4) and IKZF1 (IKAROS family zinc finger 1)."
